H_latent,H_rv5m,H_tsrv,H_latent_lag40,H_rv5m_lag40,H_tsrv_lag40,H_corrected_rv5m,H_corrected_tsrv,H_corr_lag40_rv5m,H_corr_lag40_tsrv,omega_rv5m,omega_tsrv,convergence,varpi,path_id
0.198147,0.092356,0.071113,0.173385,0.107252,0.091841,0.573253,0.183219,0.217202,0.179368,0.191361,0.191361,converged,0.000500,73
0.209755,0.125114,0.106829,0.171117,0.116521,0.099060,0.127073,0.108137,0.118008,0.100082,0.027698,0.027698,converged,0.000500,74
0.205052,0.083381,0.062198,0.166080,0.071435,0.053402,3.966778,0.234921,1.837121,-0.118447,0.208086,0.208086,converged,0.000500,75
0.246075,0.137112,0.111234,0.216406,0.113148,0.089562,0.139197,0.112570,0.114528,0.090441,0.028328,0.028328,converged,0.000500,76
0.174561,0.093557,0.072985,0.210978,0.112908,0.089832,6.738555,0.324136,2.499704,0.270599,0.215440,0.215440,converged,0.000500,77
0.219548,0.076905,0.061036,0.241649,0.142312,0.119644,0.076905,0.061036,0.142312,0.119644,0.000154,0.000154,converged,0.000500,78
0.212675,0.098062,0.074664,0.191392,0.090295,0.064977,0.098062,0.074664,0.090295,0.064977,0.000125,0.000125,converged,0.000500,79
0.225320,0.102880,0.083636,0.219635,0.122100,0.102107,6.058887,2.302185,3.301779,1.131440,0.227010,0.227010,converged,0.000500,80
0.199054,0.102365,0.078349,0.149531,0.069863,0.051059,0.103995,0.079340,0.070779,0.051581,0.027101,0.027101,converged,0.000500,81
0.228907,0.123117,0.102118,0.220532,0.127159,0.104592,0.125017,0.103331,0.128727,0.105625,0.028456,0.028456,converged,0.000500,82
0.185656,0.110857,0.093402,0.187595,0.096815,0.075682,0.112588,0.094557,0.098028,0.076437,0.028544,0.028544,converged,0.000500,83
0.212350,0.061392,0.034847,0.185731,0.072906,0.049971,0.061392,0.034847,0.072906,0.049971,0.000162,0.000162,converged,0.000500,84
0.177999,0.107758,0.092048,0.165109,0.092747,0.075703,0.107758,0.092048,0.092747,0.075703,0.000181,0.000181,converged,0.000500,85
